GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-productos,com.example.msproductos.dto,ProductoDTO,230,45,54,0,0,7,31,13,4,13
ms-productos,com.example.msproductos,MsProductosApplication,5,3,0,0,2,1,1,1,1,1
ms-productos,com.example.msproductos.model,Producto,296,94,70,0,0,12,39,18,4,18
ms-productos,com.example.msproductos.service.impl,ProductoServiceImpl,144,0,2,0,32,0,10,0,9,0
ms-productos,com.example.msproductos.config,SecurityConfig,42,85,0,0,9,14,1,6,1,6
ms-productos,com.example.msproductos.config,JwtAuthenticationFilter,57,26,8,2,13,9,5,3,0,3
ms-productos,com.example.msproductos.exception,ProductoNotFoundException,4,0,0,0,2,0,1,0,1,0
ms-productos,com.example.msproductos.exception,GlobalExceptionHandler,40,22,0,0,10,5,2,2,2,2
ms-productos,com.example.msproductos.exception,ErrorResponse,166,27,32,0,2,5,25,5,9,5
ms-productos,com.example.msproductos.controller,ProductoController,7,40,0,0,1,7,1,6,1,6
